message_id,cluster
1557320967119965,1
1557320967119939,1
20894251205339,0
192723019368399,0
20894251205283,1
1557320967119933,0
20894251205310,4
20894251205256,0
1557320967119942,4
20894251205295,2
20894251205337,1
185417972649071,1
20894251205319,2
20894251205332,2
20894251205258,1
1557320967119966,1
20894251205316,0
20894251205291,3
1862898215324797,3
1557320967119952,0
20894251205282,1
20894251205285,1
1862898215324796,2
20894251205261,0
1557320967119961,1
1557320967119964,2
1557320967119972,3
1557320967119944,2
1557320967119945,3
1268299670370296,0
153742584826962,4
1557320967119940,4
19207670208974,2
1557320967119946,3
1557320967119953,4
1557320967119948,1
1557320967119938,2
1268299670370424,2
1268299670370434,1
183422978274193,1
1268299670370363,0
183422978274199,4
19207670209060,3
20894251206056,4
1268299670370426,4
20894251206048,1
20894251206012,0
192723019368432,2
1268299670370365,2
20894251206030,0
1268299670370377,1
1268299670370366,2
183422978274195,0
183422978274202,4
183422978274197,2
20894251206031,2
183422978274211,4
20894251206022,4
1268299670370380,4
1557320967120044,4
20894251206027,0
20894251206045,4
1268299670370422,0
1268299670370348,1
1268299670370410,4
183422978274190,4
1268299670370412,4
183422978274191,0
1268299670370428,0
20894251206055,0
1557320967120041,1
153742584826998,0
185417972649079,0
1268299670370445,2
1268299670370407,1
1557320967120045,0
1268299670370439,1
19207670209063,3
20894251206017,3
20894251206004,4
20894251206059,1
1268299670370346,1
1268299670370398,1
20894251206041,0
1268299670370381,1
1268299670370386,1
20894251206029,4
20894251206032,4
20894251206000,0
20894251206003,0
20894251206019,4
1268299670370362,4
1268299670370374,1
20894251206028,0
19207670209074,2
1557320967120218,4
19207670209159,2
1268299670370694,1
153742584827066,3
153742584827058,0
153742584827067,0
19207670209160,1
1557320967120237,4
1862898215324854,1
19207670209166,4
153742584827100,1
20894251206278,0
1862898215324851,2
1557320967120227,0
19207670209169,0
19207670209164,4
1557320967120223,2
1268299670370683,0
153742584827068,4
1557320967120236,4
20894251206270,0
20894251206274,0
1862898215324855,0
1557320967120210,1
20894251206287,1
153742584827082,4
19207670209154,2
153742584827059,2
20894251206283,0
153742584827073,2
153742584827092,0
1862898215324853,1
1268299670370695,2
20894251206275,0
1557320967120229,3
153742584827076,4
153742584827087,4
1557320967120225,4
1862898215325010,2
1862898215325055,2
1862898215325069,1
1862898215324947,2
20894251206447,2
20894251206533,1
20894251206554,1
1862898215325130,3
20894251206551,4
1862898215324989,1
1862898215325100,0
1862898215324984,1
1862898215325005,2
20894251206557,0
1557320967120287,0
1557320967120288,1
1862898215325078,4
20894251206529,0
1862898215324971,1
1862898215325093,1
20894251206485,0
1862898215325060,2
1862898215324998,1
20894251206479,1
20894251206488,1
20894251206434,4
1862898215325003,4
1268299670370761,1
1862898215325032,1
183422978274403,4
20894251206484,0
20894251206540,0
1557320967120285,4
20894251206436,2
1862898215324948,4
192723019368570,0
20894251206528,0
20894251206415,1
20894251206439,0
20894251206473,0
20894251206482,1
20894251206527,1
1862898215325056,1
1862898215325095,0
183422978274408,0
1862898215325022,0
19207670209236,0
20894251206523,1
1862898215325061,0
1862898215325081,1
183422978274409,4
20894251206532,2
1862898215325007,1
1862898215325034,2
20894251206494,4
20894251206519,4
20894251206454,4
20894251206487,0
1862898215325018,2
1862898215325114,1
1862898215325101,1
1862898215325015,4
1862898215324987,1
20894251206492,1
183422978274405,4
20894251206431,0
1862898215324953,3
153742584827192,1
1862898215325104,0
183422978274415,0
1862898215324978,1
20894251206491,0
1862898215325041,1
1862898215325058,1
20894251206550,1
20894251206417,1
153742584827187,3
1268299670370772,2
20894251206502,0
20894251206440,0
1557320967120282,2
20894251206418,0
20894251206471,0
1862898215325063,1
1862898215325074,0
1862898215324972,1
1862898215325080,1
1862898215325021,1
1862898215324962,4
1862898215325047,1
1862898215325118,0
19207670209237,1
20894251206470,1
1862898215325038,4
20894251206543,0
20894251208412,2
192076702010296,1
20894251208382,2
192076702010251,2
153742584827561,1
192076702010233,3
20894251208416,0
20894251208353,0
20894251208408,4
192076702010273,0
153742584827541,0
153742584827577,4
1557320967121347,1
192076702010268,0
20894251208365,3
192723019369282,0
1862898215325928,3
153742584827576,1
153742584827586,0
192723019369289,4
1268299670371289,1
192076702010254,4
20894251208410,2
20894251208373,2
153742584827546,2
192076702010237,3
153742584827552,1
192076702010289,2
20894251208342,3
20894251208347,2
153742584827566,2
1557320967121344,0
192076702010247,2
192723019369287,0
153742584827538,3
192076702010227,0
192723019369283,2
192076702010258,1
192076702010297,0
20894251208415,2
192076702010281,2
20894251208379,2
20894251208424,1
192723019369272,0
153742584827555,1
153742584827579,4
20894251208357,3
20894251208334,1
153742584827563,1
153742584827565,0
192723019369262,1
192723019369264,0
192076702010285,0
1268299670371286,2
192076702010218,0
192076702010234,1
192076702010237,3
192076702010293,1
20894251208407,0
153742584827582,4
192076702010266,0
153742584827544,4
192076702010219,0
153742584827581,4
192076702010228,1
185417972651186,2
192076702016243,2
192723019371847,0
1862898215331638,2
192723019371835,0
1862898215331649,1
1862898215331648,4
192076702016247,2
192723019371844,1
1862898215331626,2
208942512016057,3
185417972651183,0
1557320967124512,0
192723019371834,0
1862898215331620,2
185417972651187,4
1862898215331646,1
185417972651181,2
1557320967124513,3
1557320967124516,1
1268299670373356,1
192076702016246,2
1862898215331641,0
1862898215331644,0
208942512016046,2
208942512016047,0
208942512016056,0
1557320967124528,0
1862898215331624,1
183422978281784,1
185417972651191,0
192076702016238,0
1862898215331631,0
1557320967124530,2
1862898215331621,2
185417972651179,0
1268299670373417,1
153742584828765,1
208942512016219,2
208942512016226,1
1268299670373434,2
153742584828812,1
192076702016519,0
192076702016523,0
153742584828774,1
153742584828789,1
153742584828796,4
1268299670373409,0
1862898215331722,1
208942512016229,1
208942512016205,0
153742584828775,1
153742584828766,1
1268299670373411,0
192076702016525,2
1862898215331729,1
1268299670373467,0
208942512016228,3
192076702016527,1
192076702016530,0
1268299670373419,1
1268299670373446,4
208942512016224,0
192076702016511,4
1268299670373448,1
183422978281875,2
192076702016550,1
208942512016235,1
1862898215331734,0
1268299670373457,2
208942512016242,1
153742584828758,0
153742584828770,1
153742584828811,1
208942512016220,0
208942512016225,1
1268299670373449,1
192723019371946,0
1268299670373424,1
1268299670373466,1
1268299670373418,1
1862898215331723,0
1268299670373408,0
192076702016512,2
153742584828781,2
153742584828797,2
153742584828800,1
192076702016556,4
153742584828776,1
192076702016520,2
192076702016524,0
1557320967124632,1
1268299670373439,1
192076702016549,2
1268299670373441,0
153742584828762,1
192076702016545,1
192076702016551,0
153742584828777,0
208942512016344,1
183422978282119,1
208942512016363,0
183422978282087,1
183422978282098,1
1268299670373507,1
208942512016364,1
183422978282101,2
192723019371989,2
192076702016810,1
208942512016347,1
183422978282124,1
1862898215331884,1
183422978282118,1
185417972651400,4
183422978282140,0
208942512016362,0
192076702016798,0
1268299670373510,2
1268299670373514,1
192076702016850,2
1862898215331873,0
1862898215331885,1
192076702016826,1
1268299670373515,4
192723019371984,4
183422978282169,1
192076702016809,2
183422978282116,1
1862898215331879,0
192076702016836,0
183422978282137,1
183422978282139,0
192076702016845,1
183422978282065,2
183422978282082,0
183422978282168,2
208942512016346,1
183422978282115,1
183422978282072,0
192076702016801,1
183422978282093,4
192076702016829,4
183422978282084,4
192076702016838,2
183422978282157,0
185417972651407,4
192076702016855,2
192076702016789,0
192076702016790,1
192076702016833,2
192076702016854,0
183422978282088,4
1862898215331867,0
192076702016842,1
208942512016345,2
1268299670373500,4
183422978282156,1
1862898215331875,0
208942512016365,4
1862898215331870,3
1268299670373513,1
183422978282167,0
183422978282070,4
192076702016805,4
1862898215331890,2
192076702016843,1
208942512016372,0
208942512016349,0
183422978282121,4
1862898215331869,0
1862898215331881,0
183422978282077,0
20894251208280,4
20894251208326,4
183422978275178,1
20894251208276,0
20894251208328,2
20894251208301,0
20894251208320,2
192723019369255,0
192723019369253,1
1557320967121326,4
183422978275179,1
183422978275176,2
183422978275175,2
192723019369252,1
20894251208313,0
20894251208319,1
20894251208292,1
183422978275173,3
20894251208324,0
183422978275180,2
1557320967121331,3
20894251208296,2
1862898215325912,1
192723019369249,1
183422978275184,1
1862898215325917,2
1557320967121328,1
1862898215325915,2
20894251208315,4
1862898215325916,4
208942512015977,3
1862898215331472,1
183422978281691,4
1862898215331454,1
1862898215331465,1
1557320967124467,1
1862898215331437,1
192723019371704,4
183422978281694,1
1862898215331445,2
1557320967124464,1
183422978281702,2
1268299670373350,1
208942512015976,1
153742584828617,0
1862898215331438,4
192723019371711,4
208942512015993,1
1862898215331501,4
192723019371707,2
1557320967124453,2
192723019371694,1
1557320967124446,2
208942512015986,2
185417972651160,1
208942512015985,2
1862898215331490,1
153742584828614,4
1862898215331455,1
1862898215331494,1
192076702016056,0
192076702016060,0
1862898215331497,4
208942512015987,0
1862898215331464,2
192723019371702,4
183422978281707,1
1557320967124465,0
208942512015999,0
192076702016061,0
