,symbol,price,timestamp
46038,BTCUSDT,38405.19,2023-12-01 13:22:22.257874+00:00
46039,LTCUSDT,71.28,2023-12-01 13:22:28.069051+00:00
46040,ETHUSDT,2089.55,2023-12-01 13:22:36.332221+00:00
46041,LTCUSDT,71.28,2023-12-01 13:22:42.917625+00:00
46042,ETHUSDT,2089.56,2023-12-01 13:22:51.345179+00:00
46043,BTCUSDT,38412.15,2023-12-01 13:23:23.447503+00:00
46044,DOGEUSDT,0.08331,2023-12-01 13:23:39.173842+00:00
46045,DOGEUSDT,0.08332,2023-12-01 13:23:54.074415+00:00
46046,LTCUSDT,71.31,2023-12-01 13:23:59.817404+00:00
46047,ETHUSDT,2089.57,2023-12-01 13:23:06.591718+00:00
46048,DOGEUSDT,0.08331,2023-12-01 13:23:07.957022+00:00
46049,LTCUSDT,71.31,2023-12-01 13:23:29.432366+00:00
46050,ETHUSDT,2089.99,2023-12-01 13:23:36.533444+00:00
46051,BTCUSDT,38405.2,2023-12-01 13:23:39.173800+00:00
46052,ETHUSDT,2090.21,2023-12-01 13:23:52.499314+00:00
46053,BTCUSDT,38409.5,2023-12-01 13:23:54.074599+00:00
46054,BTCUSDT,38405.2,2023-12-01 13:23:07.957012+00:00
46055,LTCUSDT,71.31,2023-12-01 13:23:14.252138+00:00
46056,ETHUSDT,2090.31,2023-12-01 13:23:21.656963+00:00
46057,DOGEUSDT,0.08332,2023-12-01 13:23:23.447420+00:00
46058,LTCUSDT,71.3,2023-12-01 13:23:44.840174+00:00
46059,DOGEUSDT,0.08335,2023-12-01 13:24:09.263906+00:00
46060,ETHUSDT,2090.65,2023-12-01 13:24:23.283690+00:00
46061,BTCUSDT,38411.76,2023-12-01 13:24:24.260568+00:00
46062,LTCUSDT,71.31,2023-12-01 13:24:30.511513+00:00
46063,BTCUSDT,38421.93,2023-12-01 13:24:54.865578+00:00
46064,DOGEUSDT,0.08337,2023-12-01 13:24:55.040659+00:00
46065,ETHUSDT,2090.3,2023-12-01 13:24:07.815660+00:00
46066,BTCUSDT,38411.76,2023-12-01 13:24:09.029644+00:00
